R0,R1,nsld0,nsld1,ampdunumsld0,ampdunumsld1,fixedPER0,fixedPER1,bawsize,maxampdunum0,maxampdunum1,D0,D1,D_total,T0,T1,Variance,p0,p1,alpha0,alpha1,lambda0,lambda1,D_slo,lambda_slo
206.470592,1080.882354,4,1,24,232,0.0,0.0,256,0,256,0.0,492.52828147538446,492.52828147538446,0.0,6237.205284532543,0.0,0.7228384132518277,0.8903869092593153,0.0,0.014784657949992796,0.0,0.0014429539496349155,492.52828147538446,0.0014429539496349155
229.411766,1080.882354,4,1,24,232,0.0,0.0,256,0,256,0.0,492.52828147538446,492.52828147538446,0.0,6237.205284532543,0.0,0.7228384132518277,0.8903869092593153,0.0,0.014784657949992796,0.0,0.0014429539496349155,492.52828147538446,0.0014429539496349155
258.088236,1080.882354,4,1,24,232,0.0,0.0,256,3,253,5.818533423719913,489.49579523699026,495.3143286607102,6187.126098346691,6202.3004682402125,57.565375416353255,0.7228384132518277,0.8903869092593153,0.025820533480908386,0.014867861879298056,0.0014546333559299783,0.0014510744918092597,492.52828147538446,0.0014429539496349155
275.29412,1080.882354,4,1,24,232,0.0,0.0,256,9,247,17.53327349442753,483.3272612111705,500.860534705598,6159.716839774663,6132.4908356555525,185.31382507345216,0.7228384132518277,0.8903869092593153,0.025935428645256855,0.015037111210920143,0.0014611061245356275,0.0014675928984144852,492.52828147538446,0.0014429539496349155
286.764706,1080.882354,4,1,24,232,0.0,0.0,256,12,244,23.608815420387195,480.1900277752514,503.7988431956386,6099.4165711359665,6097.586019363201,0.8377299481940306,0.7228384132518277,0.8903869092593153,0.02619183240065365,0.015123189144502069,0.0014755509637741997,0.0014759939378337645,492.52828147538446,0.0014429539496349155
309.705884,1080.882354,4,1,24,232,0.0,0.0,256,19,237,37.79325659401278,472.72824692954146,510.52150352355426,6032.822269042563,6016.141448014399,69.56244754340403,0.7228384132518277,0.8903869092593153,0.026480955255841914,0.015327921973333302,0.001491839076079452,0.0014959754649669034,492.52828147538446,0.0014429539496349155
344.117648,1080.882354,4,1,24,232,0.0,0.0,256,28,228,56.99976668372902,462.83240923033395,519.832175914063,5894.760970941194,5911.426999137387,69.43912395907594,0.7228384132518277,0.8903869092593153,0.027101166164411133,0.015599439307828283,0.0015267794647427417,0.0015224750303629406,492.52828147538446,0.0014429539496349155
412.94118,1080.882354,4,1,24,232,0.0,0.0,256,46,210,97.05206155396098,441.9503400726532,539.0024016266142,5687.668980561404,5701.998101383363,51.33092588257399,0.7228384132518277,0.8903869092593153,0.028087938506785978,0.01617239168728044,0.0015823705688145814,0.001578394071688047,492.52828147538446,0.0014429539496349155
458.823532,1080.882354,4,1,24,232,0.0,0.0,256,57,199,123.09433723907983,428.4165946485078,551.5109318875876,5556.713780192031,5574.013774978121,74.82245489968429,0.7228384132518277,0.8903869092593153,0.028749887594073976,0.016543724220714384,0.0016196623320931557,0.0016146354069667378,492.52828147538446,0.0014429539496349155
516.176472,1080.882354,4,1,24,232,0.0,0.0,256,70,186,155.34021493524546,411.5985543445398,566.9387692797852,5407.485758598695,5422.759571044662,58.32233665864756,0.7228384132518277,0.8903869092593153,0.02954328567928803,0.01700516969037159,0.0016643594457347727,0.001659671590098951,492.52828147538446,0.0014429539496349155
