N,W_mld,W_sld,K_mld,K_sld,damping,starts,converged_runs,all_converged,max_iterations,max_residual,solution_spread_inf
1,16.0,4.0,1,3,0.4,25,25,True,66,1.6462387009141821e-12,3.892886013545649e-12
1,16.0,4.0,1,6,0.4,25,25,True,67,1.6331380692236053e-12,3.827493877395227e-12
1,16.0,4.0,3,1,0.4,25,25,True,69,1.6675549829869851e-12,4.1531222905177856e-12
1,16.0,4.0,3,3,0.4,25,25,True,73,1.7150725284409418e-12,4.432454403513475e-12
1,16.0,4.0,3,6,0.4,25,25,True,73,1.7036372312873027e-12,4.0538683521162966e-12
1,16.0,4.0,6,1,0.4,25,25,True,74,1.7305046284832315e-12,4.576450329807358e-12
1,16.0,4.0,6,3,0.4,25,25,True,78,1.7421619702417956e-12,4.674594045184222e-12
1,16.0,4.0,6,6,0.4,25,25,True,78,1.7569279364693102e-12,4.7486459209267196e-12
1,16.0,8.0,1,1,0.4,25,25,True,61,1.5333290193098037e-12,3.4198199827528697e-12
1,16.0,8.0,1,3,0.4,25,25,True,64,1.5987211554602254e-12,3.5019764865751313e-12
1,16.0,8.0,1,6,0.4,25,25,True,64,1.6221468612798162e-12,3.724909269919863e-12
1,16.0,8.0,3,1,0.4,25,25,True,64,1.6403545188836688e-12,3.838929174548866e-12
1,16.0,8.0,3,3,0.4,25,25,True,68,1.6262546864709293e-12,3.948952276289219e-12
1,16.0,8.0,3,6,0.4,25,25,True,68,1.684319350658825e-12,4.1670000783256e-12
1,16.0,8.0,6,1,0.4,25,25,True,65,1.6570078642530461e-12,3.843370066647367e-12
1,16.0,8.0,6,3,0.4,25,25,True,69,1.7027490528676026e-12,4.2054137949776305e-12
1,16.0,8.0,6,6,0.4,25,25,True,69,1.6829870830292748e-12,4.243605467024736e-12
1,16.0,16.0,1,1,0.4,25,25,True,58,1.4520606939072422e-12,3.1916691511924e-12
1,16.0,16.0,1,3,0.4,25,25,True,60,1.5940582187567998e-12,3.5489389205167754e-12
1,16.0,16.0,1,6,0.4,25,25,True,61,1.6086021403793893e-12,3.6057823393775834e-12
1,16.0,16.0,3,1,0.4,25,25,True,60,1.5940582187567998e-12,3.5489389205167754e-12
1,16.0,16.0,3,3,0.4,25,25,True,62,1.578404074109585e-12,3.653521929436465e-12
1,16.0,16.0,3,6,0.4,25,25,True,62,1.6107115641261771e-12,3.696598582791921e-12
1,16.0,16.0,6,1,0.4,25,25,True,61,1.6086021403793893e-12,3.6057823393775834e-12
1,16.0,16.0,6,3,0.4,25,25,True,62,1.6107115641261771e-12,3.696598582791921e-12
1,16.0,16.0,6,6,0.4,25,25,True,62,1.628142065612792e-12,3.786304603181634e-12
2,4.0,4.0,1,1,0.4,25,25,True,61,1.6168177907616155e-12,3.6247671530986736e-12
2,4.0,4.0,1,3,0.4,25,25,True,70,1.687538997430238e-12,4.164002476159112e-12
2,4.0,4.0,1,6,0.4,25,25,True,77,1.7533752227905097e-12,4.8054893397875276e-12
2,4.0,4.0,3,1,0.4,25,25,True,68,1.6891488208159444e-12,4.2039149938943865e-12
2,4.0,4.0,3,3,0.4,25,25,True,88,1.8315349237241207e-12,5.649924972317422e-12
2,4.0,4.0,3,6,0.4,25,25,True,106,1.9477752744023746e-12,7.126188528161492e-12
2,4.0,4.0,6,1,0.4,25,25,True,73,1.7300050281221502e-12,4.4646508712276045e-12
2,4.0,4.0,6,3,0.4,25,25,True,104,1.942890293094024e-12,6.931788476549627e-12
2,4.0,4.0,6,6,0.4,25,25,True,136,2.069677762506217e-12,9.675149570398389e-12
2,4.0,8.0,1,1,0.4,25,25,True,63,1.6150414339222152e-12,3.7405634145670774e-12
2,4.0,8.0,1,3,0.4,25,25,True,72,1.7275070263167436e-12,4.2063019733973306e-12
2,4.0,8.0,1,6,0.4,25,25,True,79,1.7529311335806597e-12,4.778177853381749e-12
2,4.0,8.0,3,1,0.4,25,25,True,72,1.729949516970919e-12,4.413469589792385e-12
2,4.0,8.0,3,3,0.4,25,25,True,87,1.8561818748707992e-12,5.510703005029427e-12
2,4.0,8.0,3,6,0.4,25,25,True,100,1.9193535649719706e-12,6.603606550470431e-12
2,4.0,8.0,6,1,0.4,25,25,True,79,1.7720269696042124e-12,4.939937348069634e-12
2,4.0,8.0,6,3,0.4,25,25,True,95,1.8777202015485273e-12,6.185496559396597e-12
2,4.0,8.0,6,6,0.4,25,25,True,108,1.9489965197294623e-12,7.154166148382046e-12
2,4.0,16.0,1,1,0.4,25,25,True,63,1.6042722705833512e-12,3.5091929362351948e-12
2,4.0,16.0,1,3,0.4,25,25,True,70,1.6848744621711376e-12,4.02489153117358e-12
2,4.0,16.0,1,6,0.4,25,25,True,75,1.7030821197749901e-12,4.5458081743277035e-12
2,4.0,16.0,3,1,0.4,25,25,True,69,1.677213923301224e-12,4.053535285208909e-12
2,4.0,16.0,3,3,0.4,25,25,True,77,1.776023772492863e-12,4.869660230610862e-12
2,4.0,16.0,3,6,0.4,25,25,True,84,1.7875700919489645e-12,5.119793478058909e-12
2,4.0,16.0,6,1,0.4,25,25,True,70,1.7004175845158898e-12,4.241051954068098e-12
2,4.0,16.0,6,3,0.4,25,25,True,79,1.7750245717707003e-12,4.619304938557889e-12
2,4.0,16.0,6,6,0.4,25,25,True,85,1.8020029912690916e-12,5.357048138421305e-12
2,8.0,4.0,1,1,0.4,25,25,True,58,1.5310530621093221e-12,3.162192729888602e-12
